81,2011,Bryant,846
81,2012,Bryant,846
81,2013,Bryant,846
83,2005,Bucknell,838
83,2006,Bucknell,838
83,2007,Bucknell,838
83,2008,Bucknell,838
83,2009,Bucknell,838
83,2010,Bucknell,838
83,2011,Bucknell,838
83,2012,Bucknell,838
83,2013,Bucknell,838
86,2005,Buffalo,875
86,2006,Buffalo,875
86,2007,Buffalo,875
86,2008,Buffalo,875
86,2009,Buffalo,875
86,2010,Buffalo,875
86,2011,Buffalo,875
86,2012,Buffalo,875
86,2013,Buffalo,875
87,2005,Butler,21451
87,2006,Butler,21451
87,2007,Butler,21451
87,2008,Butler,21451
87,2009,Butler,21451
87,2010,Butler,21451
87,2011,Butler,21451
87,2012,Butler,21451
87,2013,Butler,21451
90,2005,Cal Poly,99005
90,2006,Cal Poly,99005
90,2007,Cal Poly,99005
90,2008,Cal Poly,99005
90,2009,Cal Poly,99005
90,2010,Cal Poly,99005
90,2011,Cal Poly,99005
90,2012,Cal Poly,99005
90,2013,Cal Poly,825
96,2005,Fresno State,923
96,2006,Fresno State,923
96,2007,Fresno State,923
96,2008,Fresno State,923
96,2009,Fresno State,923
96,2010,Fresno State,923
96,2011,Fresno State,923
96,2012,Fresno State,5486
96,2013,Fresno State,5486
102,2005,Sacramento State,825
102,2006,Sacramento State,825
102,2007,Sacramento State,825
102,2008,Sacramento State,825
102,2009,Sacramento State,825
102,2010,Sacramento State,825
102,2011,Sacramento State,825
102,2012,Sacramento State,825
102,2013,Sacramento State,825
107,2005,California,905
107,2006,California,905
107,2007,California,905
107,2008,California,905
107,2009,California,905
107,2010,California,905
107,2011,California,905
107,2012,California,905
107,2013,California,905
108,2005,UC Davis,99005
108,2006,UC Davis,99005
108,2007,UC Davis,99005
108,2008,UC Davis,99005
108,2009,UC Davis,99005
108,2010,UC Davis,99005
108,2011,UC Davis,99005
108,2012,UC Davis,99005
108,2013,UC Davis,825
110,2005,UCLA,905
110,2006,UCLA,905
110,2007,UCLA,905
110,2008,UCLA,905
110,2009,UCLA,905
110,2010,UCLA,905
110,2011,UCLA,905
110,2012,UCLA,905
110,2013,UCLA,905
115,2009,Campbell,21451
115,2010,Campbell,21451
115,2011,Campbell,21451
115,2012,Campbell,21451
115,2013,Campbell,21451
127,2005,Central Conn. St.,846
127,2006,Central Conn. St.,846
127,2007,Central Conn. St.,846
127,2008,Central Conn. St.,846
127,2009,Central Conn. St.,846
127,2010,Central Conn. St.,846
127,2011,Central Conn. St.,846
127,2012,Central Conn. St.,846
127,2013,Central Conn. St.,846
128,2005,UCF,24312
128,2006,UCF,24312
128,2007,UCF,24312
128,2008,UCF,24312
128,2009,UCF,24312
128,2010,UCF,24312
128,2011,UCF,24312
128,2012,UCF,24312
128,2013,UCF,823
129,2005,Central Michigan,875
129,2006,Central Michigan,875
129,2007,Central Michigan,875
129,2008,Central Michigan,875
129,2009,Central Michigan,875
129,2010,Central Michigan,875
129,2011,Central Michigan,875
129,2012,Central Michigan,875
129,2013,Central Michigan,875
140,2005,Cincinnati,823
140,2006,Cincinnati,823
140,2007,Cincinnati,823
140,2008,Cincinnati,823
140,2009,Cincinnati,823
140,2010,Cincinnati,823
140,2011,Cincinnati,823
140,2012,Cincinnati,823
140,2013,Cincinnati,823
141,2005,Citadel,912
141,2006,Citadel,912
141,2007,Citadel,912
141,2008,Citadel,912
141,2009,Citadel,912
141,2010,Citadel,912
141,2011,Citadel,912
141,2012,Citadel,912
141,2013,Citadel,912
147,2005,Clemson,821
147,2006,Clemson,821
147,2007,Clemson,821
147,2008,Clemson,821
147,2009,Clemson,821
147,2010,Clemson,821
147,2011,Clemson,821
147,2012,Clemson,821
147,2013,Clemson,821
149,2005,Coastal Carolina,826
149,2006,Coastal Carolina,826
149,2007,Coastal Carolina,826
149,2008,Coastal Carolina,826
149,2009,Coastal Carolina,826
149,2010,Coastal Carolina,826
149,2011,Coastal Carolina,826
149,2012,Coastal Carolina,826
149,2013,Coastal Carolina,826
153,2005,Colgate,838
153,2006,Colgate,838
153,2007,Colgate,838
153,2008,Colgate,838
153,2009,Colgate,838
153,2010,Colgate,838
153,2011,Colgate,838
153,2012,Colgate,838
153,2013,Colgate,838
156,2005,Colorado State,5486
156,2006,Colorado State,5486
156,2007,Colorado State,5486
156,2008,Colorado State,5486
156,2009,Colorado State,5486
156,2010,Colorado State,5486
156,2011,Colorado State,5486
156,2012,Colorado State,5486
156,2013,Colorado State,5486
157,2005,Colorado,25354
157,2006,Colorado,25354
157,2007,Colorado,25354
157,2008,Colorado,25354
157,2009,Colorado,25354
157,2010,Colorado,25354
157,2011,Colorado,905
157,2012,Colorado,905
157,2013,Colorado,905
158,2005,Columbia,865
158,2006,Columbia,865
158,2007,Columbia,865
158,2008,Columbia,865
158,2009,Columbia,865
158,2010,Columbia,865
158,2011,Columbia,865
158,2012,Columbia,865
158,2013,Columbia,865
164,2005,Connecticut,823
164,2006,Connecticut,823
164,2007,Connecticut,823
164,2008,Connecticut,823
164,2009,Connecticut,823
164,2010,Connecticut,823
164,2011,Connecticut,823
164,2012,Connecticut,823
164,2013,Connecticut,823
167,2005,Cornell,865
167,2006,Cornell,865
167,2007,Cornell,865
167,2008,Cornell,865
167,2009,Cornell,865
167,2010,Cornell,865
167,2011,Cornell,865
167,2012,Cornell,865
167,2013,Cornell,865
172,2005,Dartmouth,865
172,2006,Dartmouth,865
172,2007,Dartmouth,865
172,2008,Dartmouth,865
172,2009,Dartmouth,865
172,2010,Dartmouth,865
172,2011,Dartmouth,865
172,2012,Dartmouth,865
172,2013,Dartmouth,865
173,2005,Davidson,21451
173,2006,Davidson,21451
173,2007,Davidson,21451
173,2008,Davidson,21451
173,2009,Davidson,21451
173,2010,Davidson,21451
173,2011,Davidson,21451
173,2012,Davidson,21451
173,2013,Davidson,21451
175,2005,Dayton,21451
175,2006,Dayton,21451
175,2007,Dayton,21451
175,2008,Dayton,21451
175,2009,Dayton,21451
175,2010,Dayton,21451
175,2011,Dayton,21451
175,2012,Dayton,21451
175,2013,Dayton,21451
178,2005,Delaware State,876
178,2006,Delaware State,876
178,2007,Delaware State,876
178,2008,Delaware State,876
178,2009,Delaware State,876
178,2010,Delaware State,876
178,2011,Delaware State,876
178,2012,Delaware State,876
178,2013,Delaware State,876
180,2005,Delaware,820
180,2006,Delaware,820
180,2007,Delaware,837
180,2008,Delaware,837
180,2009,Delaware,837
180,2010,Delaware,837
180,2011,Delaware,837
180,2012,Delaware,837
180,2013,Delaware,837
189,2005,Drake,21451
189,2006,Drake,21451
189,2007,Drake,21451
189,2008,Drake,21451
189,2009,Drake,21451
189,2010,Drake,21451
189,2011,Drake,21451
189,2012,Drake,21451
189,2013,Drake,21451
193,2005,Duke,821
193,2006,Duke,821
193,2007,Duke,821
193,2008,Duke,821
193,2009,Duke,821
193,2010,Duke,821
193,2011,Duke,821
193,2012,Duke,821
193,2013,Duke,821
194,2005,Duquesne,871
194,2006,Duquesne,871
194,2007,Duquesne,871
194,2008,Duquesne,871
194,2009,Duquesne,846
194,2010,Duquesne,846
194,2011,Duquesne,846
194,2012,Duquesne,846
194,2013,Duquesne,846
196,2005,East Carolina,24312
196,2006,East Carolina,24312
196,2007,East Carolina,24312
196,2008,East Carolina,24312
196,2009,East Carolina,24312
196,2010,East Carolina,24312
196,2011,East Carolina,24312
196,2012,East Carolina,24312
196,2013,East Carolina,24312
201,2005,Eastern Illinois,902
201,2006,Eastern Illinois,902
201,2007,Eastern Illinois,902
201,2008,Eastern Illinois,902
201,2009,Eastern Illinois,902
201,2010,Eastern Illinois,902
201,2011,Eastern Illinois,902
201,2012,Eastern Illinois,902
201,2013,Eastern Illinois,902
202,2005,Eastern Kentucky,902
202,2006,Eastern Kentucky,902
202,2007,Eastern Kentucky,902
202,2008,Eastern Kentucky,902
202,2009,Eastern Kentucky,902
202,2010,Eastern Kentucky,902
202,2011,Eastern Kentucky,902
202,2012,Eastern Kentucky,902
202,2013,Eastern Kentucky,902
204,2005,Eastern Michigan,875
204,2006,Eastern Michigan,875
204,2007,Eastern Michigan,875
204,2008,Eastern Michigan,875
204,2009,Eastern Michigan,875
204,2010,Eastern Michigan,875
204,2011,Eastern Michigan,875
204,2012,Eastern Michigan,875
204,2013,Eastern Michigan,875
207,2005,Eastern Washington,825
207,2006,Eastern Washington,825
207,2007,Eastern Washington,825
207,2008,Eastern Washington,825
207,2009,Eastern Washington,825
207,2010,Eastern Washington,825
207,2011,Eastern Washington,825
207,2012,Eastern Washington,825
207,2013,Eastern Washington,825
228,2005,Florida A&M,876
228,2006,Florida A&M,876
228,2007,Florida A&M,876
228,2008,Florida A&M,876
228,2009,Florida A&M,876
228,2010,Florida A&M,876
228,2011,Florida A&M,876
228,2012,Florida A&M,876
228,2013,Florida A&M,876
229,2005,Florida Atlantic,818
229,2006,Florida Atlantic,818
229,2007,Florida Atlantic,818
229,2008,Florida Atlantic,818
229,2009,Florida Atlantic,818
229,2010,Florida Atlantic,818
229,2011,Florida Atlantic,818
229,2012,Florida Atlantic,818
229,2013,Florida Atlantic,24312
231,2005,Florida International,818
231,2006,Florida International,818
231,2007,Florida International,818
231,2008,Florida International,818
231,2009,Florida International,818
231,2010,Florida International,818
231,2011,Florida International,818
231,2012,Florida International,818
231,2013,Florida International,24312
234,2005,Florida State,821
234,2006,Florida State,821
234,2007,Florida State,821
234,2008,Florida State,821
234,2009,Florida State,821
234,2010,Florida State,821
234,2011,Florida State,821
234,2012,Florida State,821
234,2013,Florida State,821
235,2005,Florida,911
235,2006,Florida,911
235,2007,Florida,911
235,2008,Florida,911
235,2009,Florida,911
235,2010,Florida,911
235,2011,Florida,911
235,2012,Florida,911
235,2013,Florida,911
236,2005,Fordham,838
236,2006,Fordham,838
236,2007,Fordham,838
236,2008,Fordham,838
236,2009,Fordham,838
236,2010,Fordham,838
236,2011,Fordham,838
236,2012,Fordham,838
236,2013,Fordham,838
244,2005,Furman,912
244,2006,Furman,912
244,2007,Furman,912
244,2008,Furman,912
244,2009,Furman,912
244,2010,Furman,912
244,2011,Furman,912
244,2012,Furman,912
244,2013,Furman,912
251,2005,Georgetown,838
251,2006,Georgetown,838
251,2007,Georgetown,838
251,2008,Georgetown,838
251,2009,Georgetown,838
251,2010,Georgetown,838
251,2011,Georgetown,838
251,2012,Georgetown,838
251,2013,Georgetown,838
253,2005,Georgia Southern,912
253,2006,Georgia Southern,912
253,2007,Georgia Southern,912
253,2008,Georgia Southern,912
253,2009,Georgia Southern,912
253,2010,Georgia Southern,912
253,2011,Georgia Southern,912
253,2012,Georgia Southern,912
253,2013,Georgia Southern,912
254,2010,Georgia State,99005
254,2011,Georgia State,99005
254,2012,Georgia State,99005
254,2013,Georgia State,818
255,2005,Georgia Tech,821
255,2006,Georgia Tech,821
255,2007,Georgia Tech,821
